reservation_id,facility,recurring_number,reservation_date,resource,client_id,start_time,end_time,status
1,facility1,0,2022-05-26,microvac,1,10,10.5,off
2,facility1,1,2022-05-26,harvester,y,13,13.5,off
3,facility1,0,2022-05-25,crusher,3,11,17.5,on
4,facility1,0,2022-05-25,harvester,y,13,14,off
5,facility1,0,2022-05-10,workshop,Good Client,9,9.5,on
6,facility1,0,2022-05-10,workshop,Good Client,9,9.5,on
7,facility1,0,2022-05-10,harvester,Bad Client,9,9.5,on
8,facility1,1,2022-05-11,workshop,Good Client,9,9.5,on
9,facility1,0,2022-05-11,extruder,Bad Client,9,9.5,on
10,facility1,0,2022-05-11,extruder,Bad Client,9,9.5,on
11,facility1,0,2022-05-11,extruder,Bad Client,10,9.5,on
12,facility1,2,2022-05-12,workshop,Good Client,9,9.5,on
13,facility4,0,2022-05-31,workshop,remote client,9,9.5,hold
14,facility3,0,2022-05-31,workshop,remote client,10,10.5,hold